央视频道,#genre#
CCTV11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://59.48.75.130:3052/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://106.46.114.29:8011/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://111.161.149.182:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://112.235.200.141:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://113.218.218.5:8001/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://115.171.86.251:9901/tsfile/live/16011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://106.46.114.29:8011/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://111.161.149.182:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://112.235.200.141:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://112.235.200.198:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://112.235.200.23:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://112.235.200.253:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://112.235.200.198:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://112.235.202.136:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://113.218.218.5:8001/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://59.48.75.130:3052/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://106.46.114.29:8011/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://111.161.149.182:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://112.235.200.141:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://112.235.200.23:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://123.183.24.94:6666/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://222.89.107.42:9876/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://113.218.218.5:8001/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://59.48.75.130:3052/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://112.235.200.198:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://112.235.202.136:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://106.46.114.29:8011/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://111.161.149.182:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://112.235.200.198:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://112.235.200.253:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://112.235.202.136:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://112.235.202.244:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://59.48.75.130:3052/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://123.183.24.94:6666/tsfile/live/faacts/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://123.183.24.94:6666/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://36.249.150.254:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://112.235.200.198:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://112.235.200.253:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://112.235.202.136:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://112.235.202.244:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
